Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
A1,06/13/2018 06:35:59 AM +0000,Crash Service,"(30.283797,-97.741906)",30.283797,-97.741906,W 21ST ST & GUADALUPE ST,ARCHIVED,06/13/2018 09:00:03 AM +0000
A2,06/13/2018 10:15:36 AM +0000,Traffic Hazard,"(30.339593,-97.700963)",30.339593,-97.700963,400-717 E ANDERSON LN EB,ARCHIVED,06/13/2018 11:20:03 AM +0000
A3,04/17/2020 09:25:03 PM +0000,Crash Urgent,"(30.329455,-97.638105)",30.329455,-97.638105,E US 290 HWY SVRD EB & EASTERN HEIGHTS BLVD,ARCHIVED,04/17/2020 09:55:03 PM +0000
A4,04/17/2020 09:40:52 PM +0000,Traffic Hazard,"(30.202806,-97.760701)",30.202806,-97.760701,5300-blk S Ih 35 Sb,ARCHIVED,04/17/2020 09:55:03 PM +0000
A5,04/17/2020 09:00:55 PM +0000,Crash Urgent,"(30.184265,-97.687339)",30.184265,-97.687339,4500-4720 S Us 183 Hwy Sb,ARCHIVED,04/17/2020 11:30:04 PM +0000
A6,04/17/2020 09:44:39 PM +0000,Crash Urgent,"(30.353742,-97.690482)",30.353742,-97.690482,9001 N Ih 35 Svrd Nb,ARCHIVED,04/18/2020 12:05:28 AM +0000
A7,06/13/2018 10:25:41 AM +0000,Traffic Hazard,"(30.257378,-97.737272)",30.257378,-97.737272,50-78 N Ih 35 Sb,ARCHIVED,06/13/2018 11:35:03 AM +0000
A8,04/18/2020 09:54:35 AM +0000,VEHICLE FIRE,"(30.199634,-97.510205)",30.199634,-97.510205,3415 River Rd,ARCHIVED,04/18/2020 01:40:04 PM +0000
A9,04/18/2020 01:20:52 PM +0000,Traffic Hazard,"(30.336023,-97.702255)",30.336023,-97.702255,7500 N Ih 35 Sb,ARCHIVED,04/18/2020 02:10:04 PM +0000
A10,04/18/2020 01:33:01 PM +0000,TRFC HAZD/ DEBRIS,"(30.171804,-97.700725)",30.171804,-97.700725,7058-8109 DEE GABRIEL COLLINS RD,ARCHIVED,04/18/2020 02:40:04 PM +0000
A11,04/18/2020 03:26:20 PM +0000,TRFC HAZD/ DEBRIS,"(30.141012,-97.846664)",30.141012,-97.846664,W Fm 1626 Rd & Brodie Ln,ARCHIVED,04/18/2020 03:50:04 PM +0000
A12,04/19/2020 12:15:58 AM +0000,Traffic Hazard,"(30.2677,-97.737918)",30.2677,-97.737918,500 E 7th St,ARCHIVED,04/19/2020 12:30:04 AM +0000
A13,04/19/2020 12:12:08 AM +0000,COLLISION WITH INJURY,"(30.333755,-97.470972)",30.333755,-97.470972,12348 Ballerstedt Rd,ARCHIVED,04/19/2020 12:35:04 AM +0000
A14,04/19/2020 12:17:14 AM +0000,Crash Urgent,"(30.391843,-97.831017)",30.391843,-97.831017,Fm 2222 Rd & Ribelin Ranch Dr,ARCHIVED,04/19/2020 12:50:04 AM +0000
A15,04/19/2020 12:37:41 AM +0000,zSTALLED VEHICLE,"(30.234061,-97.864779)",30.234061,-97.864779,W Us 290 Hwy & W William Cannon Dr,ARCHIVED,04/19/2020 01:40:04 AM +0000
A16,04/19/2020 01:09:27 AM +0000,Crash Urgent,"(30.384189,-97.673777)",30.384189,-97.673777,11726-11804 N IH 35 SVRD SB,ARCHIVED,04/19/2020 02:15:04 AM +0000
A17,04/21/2020 11:13:20 AM +0000,Traffic Hazard,"(30.229636,-97.788522)",30.229636,-97.788522,W Ben White Blvd Svrd Eb & Menchaca Rd,ARCHIVED,04/21/2020 11:20:04 AM +0000
A18,04/24/2020 11:30:54 AM +0000,Crash Urgent,"(30.173724,-97.823807)",30.173724,-97.823807,W Slaughter Ln & Menchaca Rd,ARCHIVED,04/24/2020 01:00:05 PM +0000
A19,04/21/2020 11:26:53 AM +0000,Traffic Hazard,"(30.228368,-97.744793)",30.228368,-97.744793,2604-2822 S Ih 35 Svrd Sb,ARCHIVED,04/21/2020 02:00:05 PM +0000
A20,04/21/2020 10:45:58 AM +0000,VEHICLE FIRE,"(30.431001,-97.940508)",30.431001,-97.940508,5973 Hi Line Rd,ARCHIVED,04/22/2020 03:20:04 AM +0000
A21,04/22/2020 10:48:16 AM +0000,Traffic Hazard,"(30.137034,-97.79738)",30.137034,-97.79738,11300 S Ih 35 Sb,ARCHIVED,04/22/2020 11:40:03 AM +0000
A22,04/23/2020 11:47:45 AM +0000,TRFC HAZD/ DEBRIS,"(30.072236,-97.693086)",30.072236,-97.693086,11506-11926 S Us 183 Hwy Sb,ARCHIVED,04/23/2020 12:00:04 PM +0000
A23,04/24/2020 11:31:18 AM +0000,Traffic Hazard,"(30.173724,-97.823807)",30.173724,-97.823807,W Slaughter Ln & Menchaca Rd,ARCHIVED,04/24/2020 11:40:04 AM +0000
A24,04/24/2020 11:31:09 AM +0000,Traffic Hazard,"(30.300813,-97.66097)",30.300813,-97.66097,6400-6401 Ed Bluestein Blvd Nb,ARCHIVED,04/24/2020 11:50:04 AM +0000
A25,04/24/2020 10:42:39 AM +0000,Crash Urgent,"(30.202485,-97.797074)",30.202485,-97.797074,1304 Armadillo Rd,ARCHIVED,04/24/2020 12:00:04 PM +0000
A26,04/25/2020 11:52:09 AM +0000,COLLISION,"(30.356335,-97.483879)",30.356335,-97.483879,13562-13587 Old Kimbro Rd,ARCHIVED,04/25/2020 12:10:03 PM +0000
A27,04/25/2020 11:44:14 AM +0000,zSTALLED VEHICLE,"(30.37184,-97.803387)",30.37184,-97.803387,7400 Fm 2222 Rd,ARCHIVED,04/25/2020 12:15:03 PM +0000
A28,04/26/2020 02:22:50 PM +0000,TRFC HAZD/ DEBRIS,"(30.46065,-97.694703)",30.46065,-97.694703,Burnet Rd & Shoreline Dr,ARCHIVED,04/26/2020 02:40:04 PM +0000
A29,04/29/2020 09:59:01 AM +0000,Traffic Hazard,"(30.288534,-97.752769)",30.288534,-97.752769,N Lamar Blvd & W 24th St,ARCHIVED,04/29/2020 10:10:03 AM +0000
A30,04/29/2020 10:21:58 AM +0000,Traffic Hazard,"(30.184432,-97.748869)",30.184432,-97.748869,4802 Brassiewood Dr,ARCHIVED,04/29/2020 10:45:04 AM +0000
A31,04/29/2020 10:23:36 AM +0000,Traffic Hazard,"(30.259692,-97.749336)",30.259692,-97.749336,300-454 S 1st St,ARCHIVED,04/29/2020 11:00:04 AM +0000
A32,04/30/2020 11:20:17 AM +0000,Traffic Hazard,"(30.376398,-97.675946)",30.376398,-97.675946,10900-12200 N IH 35 SVRD NB,ARCHIVED,04/30/2020 11:35:04 AM +0000
A33,06/19/2020 11:55:08 AM +0000,Traffic Hazard,"(30.237638,-97.871182)",30.237638,-97.871182,6902 Old Bee Caves Rd,ARCHIVED,06/19/2020 12:15:03 PM +0000
A34,04/17/2020 09:07:42 PM +0000,COLLISION,"(30.186534,-97.614895)",30.186534,-97.614895,4437 E SH 71 WB,ARCHIVED,04/17/2020 09:15:04 PM +0000
A35,04/17/2020 09:07:47 PM +0000,COLLISION,"(30.186298,-97.609046)",30.186298,-97.609046,4500-4542 E Sh 71 Eb,ARCHIVED,04/17/2020 09:40:04 PM +0000
A36,04/17/2020 10:16:05 PM +0000,Traffic Hazard,"(30.215872,-97.738109)",30.215872,-97.738109,2300-2530 E Ben White Blvd Wb,ARCHIVED,04/17/2020 10:40:04 PM +0000
A37,04/17/2020 10:34:03 PM +0000,TRFC HAZD/ DEBRIS,"(30.390257,-97.908992)",30.390257,-97.908992,4322-4345 N Fm 620 Rd,ARCHIVED,04/17/2020 10:45:03 PM +0000
A38,06/13/2018 10:44:55 AM +0000,Traffic Hazard,"(30.140714,-97.795647)",30.140714,-97.795647,11000 S Ih 35 Nb,ARCHIVED,06/13/2018 11:10:03 AM +0000
A39,04/17/2020 11:40:47 PM +0000,Crash Service,"(30.419407,-97.660947)",30.419407,-97.660947,W Howard Ln & Mc Callen Pass,ARCHIVED,04/17/2020 11:50:05 PM +0000
A40,04/17/2020 11:29:26 PM +0000,Crash Service,"(30.205068,-97.775196)",30.205068,-97.775196,107 W STASSNEY LN,ARCHIVED,04/18/2020 12:00:05 AM +0000
A41,04/17/2020 10:53:45 PM +0000,Crash Urgent,"(30.229962,-97.864551)",30.229962,-97.864551,W William Cannon Dr & Escarpment Blvd,ARCHIVED,04/18/2020 12:40:04 AM +0000
A42,04/18/2020 10:48:38 AM +0000,Traffic Hazard,"(30.214226,-97.703929)",30.214226,-97.703929,6800-blk E Ben White Blvd Wb,ARCHIVED,04/18/2020 11:50:04 AM +0000
A43,04/18/2020 04:15:39 PM +0000,Traffic Hazard,"(30.332537,-97.740353)",30.332537,-97.740353,2100-2134 Northland Dr,ARCHIVED,04/18/2020 04:55:03 PM +0000
A44,04/18/2020 05:16:54 PM +0000,zSTALLED VEHICLE,"(30.424463,-97.671895)",30.424463,-97.671895,N Lamar Blvd & W Howard Ln,ARCHIVED,04/18/2020 05:30:04 PM +0000
A45,04/18/2020 05:16:44 PM +0000,Traffic Hazard,"(30.351585,-97.748366)",30.351585,-97.748366,N Mopac Expy Svrd Nb & Far West Blvd,ARCHIVED,04/18/2020 06:00:05 PM +0000
A46,04/18/2020 05:59:44 PM +0000,Crash Service,"(30.356384,-97.864655)",30.356384,-97.864655,8800 Big View Dr,ARCHIVED,04/18/2020 07:10:06 PM +0000
A47,04/19/2020 01:08:08 AM +0000,Crash Urgent,"(30.342328,-97.698495)",30.342328,-97.698495,8010 N Ih 35 Svrd Sb,ARCHIVED,04/19/2020 01:45:03 AM +0000
A48,04/21/2020 11:23:45 AM +0000,Crash Service,"(30.36853,-97.613107)",30.36853,-97.613107,E Parmer Ln & Harris Branch Pkwy,ARCHIVED,04/21/2020 12:55:03 PM +0000
A49,04/22/2020 10:56:30 AM +0000,zSTALLED VEHICLE,"(30.42059,-97.704594)",30.42059,-97.704594,W Parmer Ln & N Mopac Expy Svrd Sb,ARCHIVED,04/22/2020 11:20:03 AM +0000
A50,04/22/2020 10:57:18 AM +0000,TRFC HAZD/ DEBRIS,"(30.375628,-97.927053)",30.375628,-97.927053,Running Deer Trl & Red Fox Rd,ARCHIVED,04/22/2020 11:25:03 AM +0000
A51,04/23/2020 12:21:26 PM +0000,Traffic Hazard,"(30.332506,-97.686305)",30.332506,-97.686305,7729-7731 Cameron Rd,ARCHIVED,04/23/2020 12:55:03 PM +0000
A52,04/24/2020 10:52:30 AM +0000,Crash Urgent,"(30.233611,-97.741365)",30.233611,-97.741365,2300 S Ih 35 Sb,ARCHIVED,04/24/2020 11:15:04 AM +0000
A53,04/24/2020 11:34:58 AM +0000,Crash Urgent,"(30.231191,-97.742572)",30.231191,-97.742572,2500 S Ih 35 Nb,ARCHIVED,04/24/2020 02:30:03 PM +0000
A54,04/25/2020 12:27:46 PM +0000,Crash Service,"(30.34755,-97.70319)",30.34755,-97.70319,8200 Georgian Dr,ARCHIVED,04/25/2020 05:50:04 PM +0000
A55,04/26/2020 02:51:19 PM +0000,Traffic Hazard,"(30.406595,-97.852479)",30.406595,-97.852479,Four Points Dr & N Fm 620 Rd,ARCHIVED,04/26/2020 03:05:03 PM +0000
A56,04/26/2020 02:53:25 PM +0000,TRFC HAZD/ DEBRIS,"(30.078877,-97.640687)",30.078877,-97.640687,11400-blk Doyle Overton Rd,ARCHIVED,04/26/2020 03:35:04 PM +0000
A57,04/29/2020 10:08:50 AM +0000,TRFC HAZD/ DEBRIS,"(30.351277,-97.475296)",30.351277,-97.475296,E Us 290 Hwy Eb & Voelker Ln,ARCHIVED,04/29/2020 11:10:03 AM +0000
A58,04/30/2020 11:34:28 AM +0000,zSTALLED VEHICLE,"(30.264557,-97.785805)",30.264557,-97.785805,1000 S Mopac Expy Nb,ARCHIVED,04/30/2020 11:45:03 AM +0000
A59,06/19/2020 12:22:30 PM +0000,Traffic Hazard,"(30.36314,-97.697022)",30.36314,-97.697022,N Lamar Blvd & W Rundberg Ln,ARCHIVED,06/19/2020 12:40:04 PM +0000
A60,08/25/2020 01:24:43 PM +0000,Traffic Hazard,"(30.384446,-97.742739)",30.384446,-97.742739,9400 Research Blvd Sb,ARCHIVED,08/25/2020 02:15:04 PM +0000
A61,08/25/2020 01:26:04 PM +0000,Traffic Hazard,"(30.112463,-97.807059)",30.112463,-97.807059,100-101 Fm 1327 Rd,ARCHIVED,08/25/2020 02:25:03 PM +0000
A62,08/25/2020 02:00:20 PM +0000,Crash Urgent,"(30.228131,-97.861421)",30.228131,-97.861421,W William Cannon Dr & Ridge Oak Rd,ARCHIVED,08/25/2020 03:00:04 PM +0000
A63,08/25/2020 01:01:02 PM +0000,Crash Urgent,"(30.470218,-97.789896)",30.470218,-97.789896,N FM 620 RD NB & NORTH LAKE CREEK PKWY,ARCHIVED,08/25/2020 04:10:03 PM +0000
A64,10/28/2020 11:47:11 PM +0000,COLLISN/ LVNG SCN,"(30.438657,-97.671975)",30.438657,-97.671975,14600 Owen Tech Blvd,ARCHIVED,10/29/2020 12:05:03 AM +0000
A65,04/17/2020 09:17:07 PM +0000,COLLISION,"(30.329455,-97.638105)",30.329455,-97.638105,E US 290 HWY SVRD EB & EASTERN HEIGHTS BLVD,ARCHIVED,04/17/2020 09:30:04 PM +0000
A66,04/17/2020 09:34:07 PM +0000,Traffic Hazard,"(30.202835,-97.807095)",30.202835,-97.807095,2001-2209 W WILLIAM CANNON DR,ARCHIVED,04/17/2020 10:00:04 PM +0000
A67,04/17/2020 09:34:25 PM +0000,Crash Urgent,"(30.201076,-97.761773)",30.201076,-97.761773,5211 S IH 35 NB,ARCHIVED,04/17/2020 11:10:03 PM +0000
A68,04/18/2020 11:16:46 AM +0000,COLLISION,"(30.513064,-97.878162)",30.513064,-97.878162,3202-3320 W WHITESTONE BLVD,ARCHIVED,04/18/2020 11:45:03 AM +0000
A69,04/18/2020 04:56:42 PM +0000,Traffic Hazard,"(30.25476,-97.70569)",30.25476,-97.70569,3300 E 5th St,ARCHIVED,04/18/2020 05:25:03 PM +0000
A70,04/19/2020 01:29:25 AM +0000,Traffic Hazard,"(30.268927,-97.738607)",30.268927,-97.738607,E 8th St & Trinity St,ARCHIVED,04/19/2020 02:45:04 AM +0000
A71,04/21/2020 11:30:59 AM +0000,COLLISION,"(30.161124,-97.686563)",30.161124,-97.686563,9111 Fm 812 Rd,ARCHIVED,04/21/2020 12:00:03 PM +0000
A72,04/22/2020 11:10:58 AM +0000,Traffic Hazard,"(30.367205,-97.718314)",30.367205,-97.718314,8700 Research Blvd Nb,ARCHIVED,04/22/2020 11:25:03 AM +0000
